group	label
1	Adjusted AIC penalty = 1.4214
2	Adjusted AIC penalty = 1.4214
3	Adjusted AIC penalty = 1.4214
4	Adjusted AIC penalty = 1.4214
5	Adjusted AIC penalty = 1.4214
6	Adjusted AIC penalty = 1.4214
7	Adjusted AIC penalty = 1.4214
8	Adjusted AIC penalty = 1.4214
9	Adjusted AIC penalty = 1.4214
10	Adjusted AIC penalty = 1.4214
11	Adjusted AIC penalty = 1.4214
12	Adjusted AIC penalty = 1.4214
13	Adjusted AIC penalty = 1.4214
14	Adjusted AIC penalty = 1.4214
15	Adjusted AIC penalty = 1.4214
16	Adjusted AIC penalty = 1.4214
17	Adjusted AIC penalty = 1.4214
18	Adjusted AIC penalty = 1.4214
19	Adjusted AIC penalty = 1.4214
20	Adjusted AIC penalty = 1.4214
21	Adjusted AIC penalty = 1.4214
22	Adjusted AIC penalty = 1.4214
23	Adjusted AIC penalty = 1.4214
24	Adjusted AIC penalty = 1.4214
25	Adjusted AIC penalty = 1.4214
26	Adjusted AIC penalty = 1.4214
27	Adjusted AIC penalty = 1.4214
28	Adjusted AIC penalty = 1.4214
29	Adjusted AIC penalty = 1.4214
30	Adjusted AIC penalty = 1.4214
31	Adjusted AIC penalty = 1.4214
32	Adjusted AIC penalty = 1.4214
33	Adjusted AIC penalty = 1.4214
34	Adjusted AIC penalty = 1.4214
35	Adjusted AIC penalty = 1.4214
36	Adjusted AIC penalty = 1.4214
37	Adjusted AIC penalty = 1.4214
38	Adjusted AIC penalty = 1.4214
39	Adjusted AIC penalty = 1.4214
40	Adjusted AIC penalty = 1.4214
41	Adjusted AIC penalty = 1.4214
42	Adjusted AIC penalty = 1.4214
43	Adjusted AIC penalty = 1.4214
44	Adjusted AIC penalty = 1.4214
45	Adjusted AIC penalty = 1.4214
46	Adjusted AIC penalty = 1.4214
47	Adjusted AIC penalty = 1.4214
48	Adjusted AIC penalty = 1.4214
49	Adjusted AIC penalty = 1.4214
50	Adjusted AIC penalty = 1.4214
51	Adjusted AIC penalty = 1.4214
52	Adjusted AIC penalty = 1.4214
53	Adjusted AIC penalty = 1.4214
54	Adjusted AIC penalty = 1.4214
55	Adjusted AIC penalty = 1.4214
56	Adjusted AIC penalty = 1.4214
57	Adjusted AIC penalty = 1.4214
58	Adjusted AIC penalty = 1.4214
59	Adjusted AIC penalty = 1.4214
60	Adjusted AIC penalty = 1.4214
61	Adjusted AIC penalty = 1.4214
62	Adjusted AIC penalty = 1.4214
63	Adjusted AIC penalty = 1.4214
64	Adjusted AIC penalty = 1.4214
65	Adjusted AIC penalty = 1.4214
66	Adjusted AIC penalty = 1.4214
67	Adjusted AIC penalty = 1.4214
68	Adjusted AIC penalty = 1.4214
69	Adjusted AIC penalty = 1.4214
70	Adjusted AIC penalty = 1.4214
71	Adjusted AIC penalty = 1.4214
72	Adjusted AIC penalty = 1.4214
73	Adjusted AIC penalty = 1.4214
74	Adjusted AIC penalty = 1.4214
75	Adjusted AIC penalty = 1.4214
76	Adjusted AIC penalty = 1.4214
77	Adjusted AIC penalty = 1.4214
78	Adjusted AIC penalty = 1.4214
79	Adjusted AIC penalty = 1.4214
80	Adjusted AIC penalty = 1.4214
81	Adjusted AIC penalty = 1.4214
82	Adjusted AIC penalty = 1.4214
83	Adjusted AIC penalty = 1.4214
84	Adjusted AIC penalty = 1.4214
85	Adjusted AIC penalty = 1.4214
86	Adjusted AIC penalty = 1.4214
87	Adjusted AIC penalty = 1.4214
88	Adjusted AIC penalty = 1.4214
89	Adjusted AIC penalty = 1.4214
90	Adjusted AIC penalty = 1.4214
91	Adjusted AIC penalty = 1.4214
92	Adjusted AIC penalty = 1.4214
93	Adjusted AIC penalty = 1.4214
94	Adjusted AIC penalty = 1.4214
95	Adjusted AIC penalty = 1.4214
96	Adjusted AIC penalty = 1.4214
97	Adjusted AIC penalty = 1.4214
98	Adjusted AIC penalty = 1.4214
99	Adjusted AIC penalty = 1.4214
100	Adjusted AIC penalty = 1.4214
101	Adjusted AIC penalty = 1.4214
102	Adjusted AIC penalty = 1.4214
103	Adjusted AIC penalty = 1.4214
104	Adjusted AIC penalty = 1.4214
105	Adjusted AIC penalty = 1.4214
106	Adjusted AIC penalty = 1.4214
107	Adjusted AIC penalty = 1.4214
108	Adjusted AIC penalty = 1.4214
109	Adjusted AIC penalty = 1.4214
110	Adjusted AIC penalty = 1.4214
111	Adjusted AIC penalty = 1.4214
112	Adjusted AIC penalty = 1.4214
113	Adjusted AIC penalty = 1.4214
114	Adjusted AIC penalty = 1.4214
115	Adjusted AIC penalty = 1.4214
116	Adjusted AIC penalty = 1.4214
117	Adjusted AIC penalty = 1.4214
118	Adjusted AIC penalty = 1.4214
119	Adjusted AIC penalty = 1.4214
120	Adjusted AIC penalty = 1.4214
121	Adjusted AIC penalty = 1.4214
122	Adjusted AIC penalty = 1.4214
123	Adjusted AIC penalty = 1.4214
124	Adjusted AIC penalty = 1.4214
125	Adjusted AIC penalty = 1.4214
126	Adjusted AIC penalty = 1.4214
127	Adjusted AIC penalty = 1.4214
